year,week,home_team,away_team,pred_diff,actual_diff,error,abs_error,home_rating,away_rating,hfa
2021,3,Arizona,Northern Arizona,5.028510967717025,-2,7.028510967717025,7.028510967717025,-0.41970208639634443,0.0,5.44821305411337
2021,3,BYU,Arizona State,5.498502640815996,10,-4.501497359184004,4.501497359184004,-0.36090092437573545,-0.4111905110783618,5.44821305411337
2021,3,UNLV,Iowa State,6.490244113368695,-45,51.490244113368696,51.490244113368696,-0.37365442070033617,-1.4156854799556606,5.44821305411337
2021,3,UCLA,Fresno State,6.110729083906151,-3,9.11072908390615,9.11072908390615,-0.3277479265130928,-0.9902639563058747,5.44821305411337
2021,3,Hawai'i,San José State,4.182651802546186,-4,8.182651802546186,8.182651802546186,-1.3843460689311673,-0.11878481736398368,5.44821305411337
2021,4,App State,Marshall,5.96837616645601,1,4.96837616645601,4.96837616645601,-0.3027365899556555,-0.11422823139083961,6.156884525020826
2021,4,Charlotte,Middle Tennessee,5.726941794929271,3,2.726941794929271,2.726941794929271,-0.4520952918460727,-0.02215256175451774,6.156884525020826
2021,4,Virginia,Wake Forest,6.098181517098066,-20,26.098181517098066,26.098181517098066,-0.17681114262136985,-0.1181081346986102,6.156884525020826
2021,4,Syracuse,Liberty,6.170564687911216,3,3.1705646879112157,3.1705646879112157,-0.15373248940378,-0.16741265229416974,6.156884525020826
2021,4,Fresno State,UNLV,5.7976636064198495,8,-2.2023363935801505,2.2023363935801505,-0.589186926749422,-0.22996600814844562,6.156884525020826
2021,4,Central Michigan,Florida International,6.3253431288483535,4,2.3253431288483535,2.3253431288483535,-0.4499236124193939,-0.6183822162469215,6.156884525020826
2021,4,Virginia Tech,Richmond,5.994787904933962,11,-5.005212095066038,5.005212095066038,-0.1620966200868634,0.0,6.156884525020826
2021,4,Penn State,Villanova,6.099439045100714,21,-14.900560954899287,14.900560954899287,-0.05744547992011176,0.0,6.156884525020826
2021,4,Temple,Wagner,6.151575750653178,34,-27.84842424934682,27.84842424934682,-0.1472850267477724,-0.1419762523801244,6.156884525020826
2021,4,Pittsburgh,New Hampshire,6.102842262086456,70,-63.897157737913545,63.897157737913545,-0.05404226293436924,0.0,6.156884525020826
2021,4,Northwestern,Ohio,6.113132407148608,29,-22.88686759285139,22.88686759285139,-0.14963307406332924,-0.10588095619111215,6.156884525020826
2021,4,Army,Miami (OH),5.880641552893971,13,-7.119358447106029,7.119358447106029,-0.3102788608996888,-0.03403588877283396,6.156884525020826
2021,4,TCU,SMU,6.100070296725404,-8,14.100070296725404,14.100070296725404,-0.13942070347791483,-0.08260647518249269,6.156884525020826
2021,4,Minnesota,Bowling Green,6.497849313144031,-4,10.49784931314403,10.49784931314403,-0.022148684723799144,-0.36311347284700485,6.156884525020826
2021,4,Boston College,Missouri,5.862673234720424,7,-1.1373267652795764,1.1373267652795764,-0.3424634927245907,-0.04825220242418884,6.156884525020826
2021,4,Mississippi State,LSU,6.3157261322285,-3,9.3157261322285,9.3157261322285,-0.03280284160069791,-0.19164444880837236,6.156884525020826
2021,4,Vanderbilt,Georgia,6.537958127383481,-62,68.53795812738348,68.53795812738348,-0.19414471963011765,-0.5752183219927729,6.156884525020826
2021,4,Utah State,Boise State,6.279504741239084,-24,30.279504741239084,30.279504741239084,-0.20994142590048132,-0.3325616421187397,6.156884525020826
2021,4,Wisconsin,Notre Dame,0.09806932630233066,-28,28.09806932630233,28.09806932630233,-0.024049054150117998,-0.12211838045244866,6.156884525020826
2021,4,Texas,Texas Tech,6.207316650116341,35,-28.79268334988366,28.79268334988366,-0.13197214132979393,-0.18240426642530927,6.156884525020826
2021,4,Miami,Central Connecticut,6.105005277583234,69,-62.89499472241677,62.89499472241677,-0.051879247437591626,0.0,6.156884525020826
2021,4,Coastal Carolina,Massachusetts,5.795099255030392,50,-44.204900744969606,44.204900744969606,-0.4803055057738499,-0.1185202357834161,6.156884525020826
