,rating,hdi_lower,hdi_upper
Georgia,-0.5817766459200738,-14.356584550180145,11.007872904947993
Georgia Southern,-0.5912733866410153,-14.53674736911764,10.935052554010037
Georgia State,-0.604964426400545,-14.559967998670936,10.795161765076491
Georgia Tech,-0.6131524764759465,-14.495166615494151,10.750505834918537
Indiana,-0.6197254087363497,-14.659263763310062,10.65083904323822
Iowa State,-0.6200296122398021,-14.647537961704042,10.624435393690861
Kansas State,-0.6204954294552506,-14.564568217260945,10.732576237758185
Iowa,-0.6228187233888477,-14.73408027376468,10.760673409400178
Kansas,-0.623608973149393,-14.755481472654,10.636960921058106
Illinois,-0.6246347703269283,-14.536112790626001,10.786172884242387
Hawai'i,-0.6275706365209685,-14.512462864094044,10.784882274117882
Houston,-0.6322525655463932,-14.356482012413801,10.720007112537388
Kent State,-0.6354291027795115,-14.46577339598801,10.621054666602298
Kentucky,-0.6405159553805507,-14.494232942094609,10.680415743290107
LSU,-0.6503553987967102,-14.342447417158294,10.98495149389712
Liberty,-0.6665381452209982,-14.484556237654028,10.680928672085601
Louisiana Tech,-0.676635505848987,-14.370054046196998,10.690037496062022
Louisiana,-0.6784421923647314,-14.36499669965947,10.741758496805925
Maryland,-0.6796592273648319,-14.411567321607263,10.676554345329308
Marshall,-0.6798433122589982,-14.212975485651505,10.625918054544329
Louisville,-0.6802792615017998,-14.166076574126963,10.65616137254908
Massachusetts,-0.689344958031909,-14.248648407772306,10.726886742302717
Memphis,-0.6993500608999521,-14.409893267061637,10.706705787722267
Miami,-0.7024496971733817,-14.289203898296618,10.672901892654167
Miami (OH),-0.7145226719533527,-14.319725336025051,10.793620041071533
Michigan,-0.7246836824842044,-14.266148969463242,10.75571717231262
Michigan State,-0.7327752847459013,-14.286977515911815,10.84332825680949
Middle Tennessee,-0.7522131008514247,-14.332622095505428,10.618561624831578
Minnesota,-0.7636609955266461,-14.52068959152373,10.86377133951782
Missouri,-0.7694279027215973,-14.551561130091828,10.619673510388894
NC State,-0.7708601284815483,-14.717507443994842,10.724381845747912
Mississippi State,-0.7718873652782315,-14.747860396983587,10.872056144167713
Navy,-0.7750457597469841,-14.912077192407702,10.643724611064027
Nebraska,-0.7886014947093597,-14.633365440200599,10.744138651253945
Nevada,-0.8075614704457983,-14.88746498330839,10.76018856078176
New Mexico State,-0.8130116015008949,-14.905494212675446,10.470153522343233
New Mexico,-0.8167202911295096,-14.881926574450423,10.584063716692741
North Carolina,-0.8184771778042241,-14.95097587924433,10.658920486421183
North Texas,-0.8356313487852939,-14.938235338313595,10.769681526258479
Northern Illinois,-0.8533078565413411,-14.784776749267571,11.021264431694618
Northwestern,-0.8739920549647344,-14.72855438120664,10.67855752682505
Notre Dame,-0.8911926628258485,-14.81483023563331,10.588036117299321
Ohio,-0.8963799983050769,-14.768337692672363,10.665558733789302
Ohio State,-0.9075151290144383,-14.63844861623832,10.7607446997672
Oklahoma,-0.9261083041373631,-14.651708830042804,10.42328436499745
Oklahoma State,-0.9434059199663078,-14.774518700110125,10.475946329502626
Old Dominion,-0.9628337096776282,-14.7181284869263,10.423075227695852
Ole Miss,-0.9856464639938064,-14.865752631748851,10.409389627413342
