game_id,Game,Spread Bet,home_team_spread_line,Spread Prediction,edge_spread,Spread Confidence,total_line,Total Prediction,edge_total,Total Bet,id_x,start_date,home_team,away_team,Date,Time,Home Team,Away Team,id_y,home_points,away_points,Spread Bet Result,Total Bet Result,Spread Result,Total Result
401761618,James Madison @ Georgia State,Home,20.0,-17.64,37.64,High,53.0,49.16566823945383,0.0,No Bet,401761618,2025-10-04 15:30:00-04:00,Georgia State,James Madison,2025-10-04,15:30:00,Georgia State,James Madison,401761618,7.0,14.0,Win,No Bet,-7.0,21.0
401762829,Central Michigan @ Akron,Home,7.5,1.57,5.93,High,47.5,48.39890664873944,0.0,No Bet,401762829,2025-10-04 15:30:00-04:00,Akron,Central Michigan,2025-10-04,15:30:00,Akron,Central Michigan,401762829,28.0,22.0,Win,No Bet,6.0,50.0
401762831,Eastern Michigan @ Buffalo,Away,-9.5,17.72,27.22,High,53.5,57.7789309780452,0.0,No Bet,401762831,2025-10-04 15:30:00-04:00,Buffalo,Eastern Michigan,2025-10-04,15:30:00,Buffalo,Eastern Michigan,401762831,31.0,30.0,Win,No Bet,1.0,61.0
401762873,Miami (OH) @ Northern Illinois,Away,5.0,8.31,3.3100000000000005,High,37.5,44.20615859532943,0.0,No Bet,401762873,2025-10-04 15:30:00-04:00,Northern Illinois,Miami (OH),2025-10-04,15:30:00,Northern Illinois,Miami (OH),401762873,14.0,25.0,Win,No Bet,-11.0,39.0
401752729,Kent State @ Oklahoma,Away,-46.5,38.21,84.71000000000001,High,54.0,53.075972531930944,0.0,No Bet,401752729,2025-10-04 16:00:00-04:00,Oklahoma,Kent State,2025-10-04,16:00:00,Oklahoma,Kent State,401752729,44.0,0.0,Win,No Bet,44.0,44.0
401752860,Michigan State @ Nebraska,Away,-13.5,21.05,34.55,High,48.5,62.35178633488086,13.851786334880863,Over,401752860,2025-10-04 16:00:00-04:00,Nebraska,Michigan State,2025-10-04,16:00:00,Nebraska,Michigan State,401752860,38.0,27.0,Win,Win,11.0,65.0
401761620,Texas State @ Arkansas State,Home,14.0,-7.61,21.61,High,63.5,61.604312611984874,0.0,No Bet,401761620,2025-10-04 16:00:00-04:00,Arkansas State,Texas State,2025-10-04,16:00:00,Arkansas State,Texas State,401761620,31.0,30.0,Win,No Bet,1.0,61.0
401761619,Coastal Carolina @ Old Dominion,Away,-20.0,28.3,48.3,High,53.0,49.88312345786203,0.0,No Bet,401761619,2025-10-04 18:00:00-04:00,Old Dominion,Coastal Carolina,2025-10-04,18:00:00,Old Dominion,Coastal Carolina,401761619,47.0,7.0,Loss,No Bet,40.0,54.0
401756913,Texas Tech @ Houston,Home,13.0,-6.74,19.74,High,51.5,46.447199938011515,0.0,No Bet,401756913,2025-10-04 19:00:00-04:00,Houston,Texas Tech,2025-10-04,19:00:00,Houston,Texas Tech,401756913,11.0,35.0,Loss,No Bet,-24.0,46.0
401760385,UNLV @ Wyoming,Away,4.0,6.34,2.34,High,51.0,49.733004107254864,0.0,No Bet,401760385,2025-10-04 19:00:00-04:00,Wyoming,UNLV,2025-10-04,19:00:00,Wyoming,UNLV,401760385,17.0,31.0,Win,No Bet,-14.0,48.0
401761621,South Alabama @ Troy,Away,2.5,10.3,7.800000000000001,High,47.0,58.63572596928737,11.635725969287371,Over,401761621,2025-10-04 19:00:00-04:00,Troy,South Alabama,2025-10-04,19:00:00,Troy,South Alabama,401761621,31.0,24.0,Loss,Win,7.0,55.0
401762477,Florida Atlantic @ Rice,Away,-5.0,11.57,16.57,High,55.0,50.34797750548602,0.0,No Bet,401762477,2025-10-04 19:00:00-04:00,Rice,Florida Atlantic,2025-10-04,19:00:00,Rice,Florida Atlantic,401762477,21.0,27.0,Win,No Bet,-6.0,48.0
401752730,Mississippi State @ Texas A&M,Away,-17.5,4.65,22.15,High,56.5,60.68266577096014,0.0,No Bet,401752730,2025-10-04 19:30:00-04:00,Texas A&M,Mississippi State,2025-10-04,19:30:00,Texas A&M,Mississippi State,401752730,31.0,9.0,Loss,No Bet,22.0,40.0
401752859,Minnesota @ Ohio State,Away,-23.5,22.13,45.629999999999995,High,42.0,44.70054675574143,0.0,No Bet,401752859,2025-10-04 19:30:00-04:00,Ohio State,Minnesota,2025-10-04,19:30:00,Ohio State,Minnesota,401752859,42.0,3.0,Loss,No Bet,39.0,45.0
401754553,Miami @ Florida State,Away,3.5,12.0,8.5,High,54.5,45.99255064510788,0.0,No Bet,401754553,2025-10-04 19:30:00-04:00,Florida State,Miami,2025-10-04,19:30:00,Florida State,Miami,401754553,22.0,28.0,Win,No Bet,-6.0,50.0
401756914,Colorado @ TCU,Away,-13.5,11.53,25.03,High,57.0,53.64823710161079,0.0,No Bet,401756914,2025-10-04 19:30:00-04:00,TCU,Colorado,2025-10-04,19:30:00,TCU,Colorado,401756914,35.0,21.0,Loss,No Bet,14.0,56.0
401756915,Kansas @ UCF,Home,4.0,2.97,1.0299999999999998,High,54.0,55.323984455188906,0.0,No Bet,401756915,2025-10-04 19:30:00-04:00,UCF,Kansas,2025-10-04,19:30:00,UCF,Kansas,401756915,20.0,27.0,Loss,No Bet,-7.0,47.0
401762478,Tulsa @ Memphis,Away,-21.0,26.58,47.58,High,54.5,54.47621573373006,0.0,No Bet,401762478,2025-10-04 20:00:00-04:00,Memphis,Tulsa,2025-10-04,20:00:00,Memphis,Tulsa,401762478,45.0,7.0,Loss,No Bet,38.0,52.0
401754551,Duke @ California,Away,3.5,5.87,2.37,High,54.5,60.380285866238,0.0,No Bet,401754551,2025-10-04 22:30:00-04:00,California,Duke,2025-10-04,22:30:00,California,Duke,401754551,21.0,45.0,Win,No Bet,-24.0,66.0
401760383,Nevada @ Fresno State,Away,-11.5,23.65,35.15,High,45.5,53.082521888295744,0.0,No Bet,401760383,2025-10-04 22:30:00-04:00,Fresno State,Nevada,2025-10-04,22:30:00,Fresno State,Nevada,401760383,20.0,17.0,Win,No Bet,3.0,37.0
