season,week,game_id,game_date,home_team,away_team,neutral_site,sportsbook,home_team_spread_line,total_line,model_spread,model_total,edge_spread,edge_total,bet_spread,bet_total,home_games_played,away_games_played,spread_reason_1,spread_reason_2,spread_reason_3,total_reason_1,total_reason_2,total_reason_3,predicted_spread_std_dev,predicted_total_std_dev,bet_units,pick_win,total_pick_win
2024,13,401628432,2024-11-23 16:15:00-05:00,Mississippi State,Missouri,False,DraftKings,9.5,58.0,0.5046700280940318,58.94128784024164,10.004670028094033,0.9412878402416354,home,none,9.0,9.0,home_adj_def_sr: -3.34,home_adj_def_epa_pp: -1.83,home_adj_def_ypp: -1.59,away_adj_off_expl_rate_pass: -2.38,away_adj_def_expl_rate_rush: +2.18,home_adj_def_ypp: +2.16,0.260368177939221,0.5035976054997491,1,0.0,
2024,13,401643840,2024-11-23 17:00:00-05:00,Louisiana,Troy,False,DraftKings,-7.5,51.5,8.652612284623265,59.23430171508837,1.152612284623265,7.734301715088364,none,over,9.0,9.0,home_adj_def_sr: -2.82,home_adj_off_epa_pp: +2.58,home_off_finish_pts_per_opp: +1.09,home_adj_off_expl_rate_overall_30: +3.32,home_off_eckel_rate: +2.27,away_adj_def_sr: +1.85,2.379768964924481,1.0359586474852769,1,,1.0
2024,13,401636931,2024-11-23 19:00:00-05:00,Houston,Baylor,False,DraftKings,7.0,51.0,-4.7159070274661135,53.282305560969725,2.2840929725338865,2.282305560969725,none,none,10.0,9.0,home_adj_off_epa_pp: -2.90,home_off_eckel_rate: -2.88,away_adj_off_epa_pp: -2.02,away_adj_off_ypp: +2.29,home_stuff_rate: -2.07,home_adj_def_expl_rate_rush: -1.86,2.7629317405096967,0.6800877317228711,1,,
2024,13,401628572,2024-11-23 19:00:00-05:00,Oregon State,Washington State,False,DraftKings,11.0,57.0,-5.621598966895834,60.10817314836686,5.378401033104166,3.108173148366859,none,none,9.0,9.0,away_off_eckel_rate: -2.81,home_adj_off_epa_pp: -2.09,home_adj_def_sr: -2.09,away_off_eckel_rate: +3.26,home_adj_def_epa_pp: +1.92,home_adj_def_expl_rate_overall_10: +1.87,1.4897328476251246,4.221265372822078,1,,
2024,13,401643842,2024-11-23 19:00:00-05:00,Texas State,Georgia State,False,DraftKings,-23.0,59.5,11.215440147824468,61.50159429855076,11.784559852175532,2.0015942985507635,away,none,9.0,9.0,home_off_eckel_rate: +2.29,home_adj_def_ypp: -1.88,away_adj_def_sr: +1.83,away_adj_def_sr: +2.67,away_adj_def_expl_rate_rush: +2.26,home_havoc_rate: -1.63,3.459922609801693,0.7247478949443007,1,1.0,
2024,13,401640959,2024-11-23 19:00:00-05:00,Notre Dame,Army,True,DraftKings,-14.5,44.5,6.044646311906488,47.77789102517004,8.455353688093513,3.2778910251700357,away,none,10.0,8.0,neutral_site: -4.03,home_adj_def_sr: +2.81,home_adj_off_epa_pp: +2.63,away_havoc_rate: -6.64,away_adj_off_expl_rate_rush: +3.14,away_adj_off_expl_rate_overall_10: -2.58,2.00153353923007,4.986495056587,1,0.0,
2024,13,401643764,2024-11-23 19:00:00-05:00,Wyoming,Boise State,False,DraftKings,22.0,54.0,-10.891506487719674,59.63281723208892,11.108493512280326,5.632817232088918,home,none,9.0,9.0,away_adj_off_epa_pp: -2.66,home_off_eckel_rate: -2.30,home_adj_off_epa_pp: -2.24,away_adj_off_epa_pp: +2.93,away_adj_off_ypp: +1.75,away_adj_def_expl_rate_overall_10: -1.26,3.7123513248412743,2.358572451738503,1,1.0,
2024,13,401628428,2024-11-23 19:30:00-05:00,Auburn,Texas A&M,False,DraftKings,2.5,47.0,6.191026105603434,49.63982109201895,8.691026105603434,2.6398210920189484,home,none,9.0,9.0,home_adj_def_sr: +3.25,home_adj_def_epa_pp: +2.02,home_adj_def_ypp: +1.86,home_adj_def_epa_pp: -1.76,away_adj_def_sr: -1.61,home_adj_def_expl_rate_overall_10: -1.51,0.7686939203798336,1.8595814741425585,1,1.0,
2024,13,401628433,2024-11-23 19:30:00-05:00,Oklahoma,Alabama,False,DraftKings,14.0,47.0,-4.835773685310184,54.55123309648855,9.164226314689817,7.551233096488545,home,over,9.0,9.0,away_adj_def_epa_pp: -2.59,home_adj_def_sr: +2.38,home_off_eckel_rate: -2.23,home_adj_off_expl_rate_overall_30: +3.85,away_adj_off_sr: +2.65,home_adj_off_epa_pp: -1.56,1.9439201673388693,0.7158843321508641,1,1.0,0.0
2024,13,401643838,2024-11-23 19:30:00-05:00,Old Dominion,Marshall,False,DraftKings,-3.0,51.0,4.532209764304448,58.97657345316343,1.532209764304448,7.976573453163425,none,over,10.0,9.0,away_off_eckel_rate: -1.72,home_adj_off_epa_pp: +1.53,home_off_eckel_rate: -0.70,away_off_eckel_rate: +2.57,home_adj_off_expl_rate_overall_10: +1.47,away_adj_off_expl_rate_overall_30: -1.46,0.8786022333599023,1.7673278527694478,1,,1.0
2024,13,401636936,2024-11-23 19:30:00-05:00,Utah,Iowa State,False,DraftKings,6.5,42.5,-2.2799085011538875,54.35839599774438,4.220091498846113,11.85839599774438,none,over,9.0,9.0,home_adj_def_sr: +3.67,home_off_eckel_rate: -2.48,home_adj_def_epa_pp: +1.91,away_off_eckel_rate: +2.68,home_havoc_rate: +2.15,away_adj_off_ypp: +1.76,0.1566611955759809,1.4635536287434974,1,,1.0
2024,13,401628431,2024-11-23 19:45:00-05:00,LSU,Vanderbilt,False,DraftKings,-10.0,53.0,7.204216821256231,57.56053615009647,2.795783178743769,4.560536150096468,none,none,9.0,9.0,home_off_eckel_rate: +2.42,home_adj_def_sr: +1.55,home_adj_off_epa_pp: +1.43,home_adj_off_expl_rate_overall_10: +1.52,home_adj_def_epa_pp: -1.48,home_havoc_rate: +1.39,0.9220835630101578,1.540242021586824,1,,
2024,13,401636933,2024-11-23 20:00:00-05:00,Kansas State,Cincinnati,False,DraftKings,-7.5,54.5,6.344203167078966,53.2602207246024,1.155796832921034,1.239779275397602,none,none,9.0,9.0,home_adj_def_sr: +2.22,home_adj_off_epa_pp: +2.17,home_adj_def_epa_pp: +1.24,home_stuff_rate: -2.34,home_adj_def_expl_rate_rush: -2.28,away_adj_off_ypp: +1.88,1.8696678133258848,1.349512473455306,1,,
2024,13,401635615,2024-11-23 20:00:00-05:00,Duke,Virginia Tech,False,DraftKings,2.5,45.5,1.955703872087652,47.89261356775666,4.455703872087652,2.392613567756662,none,none,9.0,10.0,away_adj_def_epa_pp: -2.10,away_adj_def_sr: -1.64,home_adj_def_ypp: +1.32,away_adj_def_sr: -1.99,away_adj_def_epa_pp: -1.94,home_adj_def_ypp: +1.73,1.7543635970579503,2.506753349237897,1,,
2024,13,401643765,2024-11-23 22:30:00-05:00,Fresno State,Colorado State,False,DraftKings,-3.5,43.5,4.291143886233601,41.904872658634375,0.7911438862336011,1.5951273413656253,none,none,9.0,9.0,home_adj_off_epa_pp: -2.23,away_adj_def_sr: +1.24,away_off_finish_pts_per_opp: +1.12,home_adj_off_epa_pp: -2.92,away_adj_off_expl_rate_overall_10: -2.02,home_adj_off_sr: -1.42,0.9090299856187556,3.373332522497453,1,,
2024,13,401643763,2024-11-23 22:30:00-05:00,Nevada,Air Force,False,DraftKings,-3.0,44.5,3.6886267848122314,56.312951298094326,0.6886267848122305,11.812951298094326,none,over,10.0,9.0,away_adj_off_epa_pp: +1.27,home_adj_def_sr: -1.23,away_adj_off_sr: +1.19,away_adj_def_expl_rate_rush: +2.83,away_adj_off_expl_rate_overall_10: -2.82,home_adj_off_expl_rate_overall_20: -2.31,1.8829048183664645,0.1118175245317303,1,,0.0
2024,13,401628561,2024-11-23 22:30:00-05:00,UCLA,USC,False,DraftKings,5.0,53.0,-0.335924023603793,59.863010248692575,4.664075976396207,6.863010248692575,none,over,10.0,10.0,away_adj_off_sr: -1.95,away_adj_off_epa_pp: -1.89,home_adj_def_ypp: +1.31,home_adj_def_ypp: +2.22,away_adj_off_ypp: +2.17,away_off_eckel_rate: +2.00,1.4186774458936924,1.7777783384957182,1,,0.0
