season,week,game_id,away_team,home_team,home_team_spread_line,model_spread,bet_spread,model_pick_team,model_pick_str,home_points,away_points,home_team_result,cover_side,cover_team,cover_str,pick_win
2024,5,401629043,Massachusetts,Miami (OH),-15.5,8.052385201901302,none,none,none,23.0,20.0,3.0,home,Miami (OH),Home -15.5,0
2024,5,401645334,UTSA,East Carolina,-2.0,-3.795206913659576,none,none,none,30.0,20.0,10.0,home,East Carolina,Home -2.0,0
2024,5,401635562,North Carolina,Duke,1.0,-3.4056799630394536,none,none,none,21.0,20.0,1.0,push,push,push,0
2024,5,401628378,Mississippi State,Texas,-37.0,26.53765134906605,none,none,none,35.0,13.0,22.0,home,Texas,Home -37.0,0
2024,5,401643795,Old Dominion,Bowling Green,-11.0,6.059036029680534,none,none,none,27.0,30.0,-3.0,home,Bowling Green,Home -11.0,0
2024,5,401640981,Louisiana Tech,Florida International,2.0,2.636796455826252,none,none,none,17.0,10.0,7.0,home,Florida International,Home +2.0,0
2024,5,401643796,UL Monroe,Troy,-6.0,0.604838142074152,none,none,none,9.0,13.0,-4.0,home,Troy,Home -6.0,0
2024,5,401645336,Tulsa,North Texas,-7.0,5.25241276925113,none,none,none,52.0,20.0,32.0,home,North Texas,Home -7.0,0
2024,5,401636881,Iowa State,Houston,16.0,-5.9905066710670205,none,none,none,0.0,20.0,-20.0,away,Iowa State,Away -16.0,0
2024,5,401645333,Charlotte,Rice,-4.0,-2.1636612340089005,none,none,none,20.0,21.0,-1.0,home,Rice,Home -4.0,0
2024,5,401635561,Stanford,Clemson,-24.0,-4.817924771074736,none,none,none,40.0,14.0,26.0,home,Clemson,Home -24.0,0
2024,5,401628374,Georgia,Alabama,2.0,16.247905659753513,none,none,none,41.0,34.0,7.0,home,Alabama,Home +2.0,0
2024,5,401628495,Illinois,Penn State,-19.5,17.162256916342457,none,none,none,21.0,7.0,14.0,home,Penn State,Home -19.5,0
2024,5,401641025,Middle Tennessee,Memphis,-27.0,27.386607302992964,none,none,none,24.0,7.0,17.0,home,Memphis,Home -27.0,0
2024,5,401628498,Ohio State,Michigan State,23.5,-9.5813060109828,none,none,none,7.0,38.0,-31.0,away,Ohio State,Away -23.5,0
2024,5,401628376,South Alabama,LSU,-21.0,11.793697748188544,none,none,none,42.0,10.0,32.0,home,LSU,Home -21.0,0
2024,5,401641035,New Mexico,New Mexico State,9.5,-5.35666850217412,none,none,none,40.0,50.0,-10.0,away,New Mexico,Away -9.5,0
2024,5,401635563,Florida State,SMU,-6.0,14.574296226578952,none,none,none,42.0,16.0,26.0,home,SMU,Home -6.0,0
2024,5,401636884,Cincinnati,Texas Tech,-3.0,6.854735526696501,none,none,none,44.0,41.0,3.0,home,Texas Tech,Home -3.0,0
2024,5,401643718,Air Force,Wyoming,4.0,-9.724840110637224,none,none,none,31.0,19.0,12.0,home,Wyoming,Home +4.0,0
2024,5,401643719,Washington State,Boise State,-6.5,9.018953620175289,none,none,none,45.0,24.0,21.0,home,Boise State,Home -6.5,0
2024,5,401636886,Arizona,Utah,-7.5,2.044868330237347,none,none,none,10.0,23.0,-13.0,away,Arizona,Away +7.5,0
2024,5,401628500,Oregon,UCLA,23.5,2.2936745232301834,none,none,none,13.0,34.0,-21.0,away,Oregon,Away -23.5,0
